"Country","Percentile","Year","Value","Type"
"Argentina","p90p100",1990,NA,"Top 10% | share | adults | equal split"
"Argentina","p90p100",1993,NA,"Top 10% | share | adults | individual"
"Argentina","p90p100",1994,NA,"Top 10% | share | adults | individual"
"Argentina","p90p100",1995,NA,"Top 10% | share | adults | individual"
"Argentina","p90p100",1996,NA,"Top 10% | share | adults | individual"
"Argentina","p90p100",1997,NA,"Top 10% | share | adults | individual"
"Argentina","p90p100",1998,NA,"Top 10% | share | adults | individual"
"Argentina","p90p100",1999,NA,"Top 10% | share | adults | individual"
"Argentina","p90p100",2000,NA,"Top 10% | share | adults | individual"
"Argentina","p90p100",2001,NA,"Top 10% | share | adults | individual"
"Argentina","p90p100",2002,NA,"Top 10% | share | adults | individual"
"Argentina","p90p100",2003,NA,"Top 10% | share | adults | individual"
"Argentina","p90p100",2004,NA,"Top 10% | share | adults | individual"
"Argentina","p90p100",2005,NA,"Top 10% | share | adults | individual"
"Argentina","p90p100",2006,NA,"Top 10% | share | adults | individual"
"Argentina","p90p100",2007,NA,"Top 10% | share | adults | individual"
"Argentina","p90p100",2008,NA,"Top 10% | share | adults | individual"
"Argentina","p90p100",2009,NA,"Top 10% | share | adults | individual"
"Argentina","p90p100",2010,NA,"Top 10% | share | adults | individual"
"Argentina","p90p100",2011,NA,"Top 10% | share | adults | individual"
"Argentina","p90p100",2012,NA,"Top 10% | share | adults | individual"
"Argentina","p90p100",2013,NA,"Top 10% | share | adults | individual"
"Argentina","p90p100",2014,NA,"Top 10% | share | adults | individual"
"Argentina","p90p100",2015,NA,"Top 10% | share | adults | individual"
"Argentina","p90p100",2016,NA,"Top 10% | share | adults | individual"
"Argentina","p90p100",1990,NA,"Top 10% | share | adults | tax unit"
"Argentina","p90p100",1991,NA,"Top 10% | share | adults | tax unit"
"Argentina","p90p100",1992,NA,"Top 10% | share | adults | tax unit"
"Argentina","p90p100",1993,NA,"Top 10% | share | adults | tax unit"
"Argentina","p90p100",1994,NA,"Top 10% | share | adults | tax unit"
"Argentina","p90p100",1995,NA,"Top 10% | share | adults | tax unit"
"Argentina","p90p100",1996,NA,"Top 10% | share | adults | tax unit"
"Argentina","p90p100",1997,NA,"Top 10% | share | adults | tax unit"
"Argentina","p90p100",1998,NA,"Top 10% | share | adults | tax unit"
"Argentina","p90p100",1999,NA,"Top 10% | share | adults | tax unit"
"Argentina","p90p100",2000,NA,"Top 10% | share | adults | tax unit"
"Argentina","p90p100",2001,NA,"Top 10% | share | adults | tax unit"
"Argentina","p90p100",2002,NA,"Top 10% | share | adults | tax unit"
"Argentina","p90p100",2003,NA,"Top 10% | share | adults | tax unit"
"Argentina","p90p100",2004,NA,"Top 10% | share | adults | tax unit"
"Argentina","p90p100",2005,NA,"Top 10% | share | adults | tax unit"
"Argentina","p90p100",2006,NA,"Top 10% | share | adults | tax unit"
"Argentina","p90p100",2007,NA,"Top 10% | share | adults | tax unit"
"Argentina","p90p100",2008,NA,"Top 10% | share | adults | tax unit"
"Argentina","p90p100",2009,NA,"Top 10% | share | adults | tax unit"
"Argentina","p90p100",2010,NA,"Top 10% | share | adults | tax unit"
"Argentina","p90p100",2011,NA,"Top 10% | share | adults | tax unit"
"Argentina","p90p100",2012,NA,"Top 10% | share | adults | tax unit"
"Argentina","p90p100",2013,NA,"Top 10% | share | adults | tax unit"
"Argentina","p90p100",2014,NA,"Top 10% | share | adults | tax unit"
"Argentina","p90p100",2015,NA,"Top 10% | share | adults | tax unit"
"Argentina","p90p100",2016,NA,"Top 10% | share | adults | tax unit"
"Australia","p90p100",1990,NA,"Top 10% | share | adults | equal split"
"Australia","p90p100",1991,NA,"Top 10% | share | adults | equal split"
"Australia","p90p100",1992,NA,"Top 10% | share | adults | equal split"
"Australia","p90p100",1993,NA,"Top 10% | share | adults | equal split"
"Australia","p90p100",1994,NA,"Top 10% | share | adults | equal split"
"Australia","p90p100",1995,NA,"Top 10% | share | adults | equal split"
"Australia","p90p100",1996,NA,"Top 10% | share | adults | equal split"
"Australia","p90p100",1997,NA,"Top 10% | share | adults | equal split"
"Australia","p90p100",1998,NA,"Top 10% | share | adults | equal split"
"Australia","p90p100",1999,NA,"Top 10% | share | adults | equal split"
"Australia","p90p100",2000,NA,"Top 10% | share | adults | equal split"
"Australia","p90p100",2001,NA,"Top 10% | share | adults | equal split"
"Australia","p90p100",2002,NA,"Top 10% | share | adults | equal split"
"Australia","p90p100",2003,NA,"Top 10% | share | adults | equal split"
"Australia","p90p100",2004,NA,"Top 10% | share | adults | equal split"
"Australia","p90p100",2005,NA,"Top 10% | share | adults | equal split"
"Australia","p90p100",2006,NA,"Top 10% | share | adults | equal split"
"Australia","p90p100",2007,NA,"Top 10% | share | adults | equal split"
"Australia","p90p100",2008,NA,"Top 10% | share | adults | equal split"
"Australia","p90p100",2009,NA,"Top 10% | share | adults | equal split"
"Australia","p90p100",2010,NA,"Top 10% | share | adults | equal split"
"Australia","p90p100",2011,NA,"Top 10% | share | adults | equal split"
"Australia","p90p100",2012,NA,"Top 10% | share | adults | equal split"
"Australia","p90p100",2013,NA,"Top 10% | share | adults | equal split"
"Australia","p90p100",2014,NA,"Top 10% | share | adults | equal split"
"Australia","p90p100",2015,NA,"Top 10% | share | adults | equal split"
"Australia","p90p100",2016,NA,"Top 10% | share | adults | equal split"
"Australia","p90p100",1990,0.261000007,"Top 10% | share | adults | individual"
"Australia","p90p100",1991,0.269600004,"Top 10% | share | adults | individual"
"Australia","p90p100",1992,0.271699995,"Top 10% | share | adults | individual"
"Australia","p90p100",1993,0.274899989,"Top 10% | share | adults | individual"
"Australia","p90p100",1994,0.277999997,"Top 10% | share | adults | individual"
"Australia","p90p100",1995,0.274699986,"Top 10% | share | adults | individual"
"Australia","p90p100",1996,0.272799999,"Top 10% | share | adults | individual"
"Australia","p90p100",1997,0.281800002,"Top 10% | share | adults | individual"
"Australia","p90p100",1998,0.282799989,"Top 10% | share | adults | individual"
"Australia","p90p100",1999,0.293799996,"Top 10% | share | adults | individual"
"Australia","p90p100",2000,0.297100008,"Top 10% | share | adults | individual"
"Australia","p90p100",2001,0.285600007,"Top 10% | share | adults | individual"
"Australia","p90p100",2002,0.292800009,"Top 10% | share | adults | individual"
"Australia","p90p100",2003,0.291000009,"Top 10% | share | adults | individual"
"Australia","p90p100",2004,0.293199986,"Top 10% | share | adults | individual"
"Australia","p90p100",2005,0.300900012,"Top 10% | share | adults | individual"
"Australia","p90p100",2006,0.31189999,"Top 10% | share | adults | individual"
"Australia","p90p100",2007,0.301699996,"Top 10% | share | adults | individual"
"Australia","p90p100",2008,0.286300004,"Top 10% | share | adults | individual"
"Australia","p90p100",2009,0.297899991,"Top 10% | share | adults | individual"
"Australia","p90p100",2010,0.299400002,"Top 10% | share | adults | individual"
"Australia","p90p100",2011,0.298000008,"Top 10% | share | adults | individual"
"Australia","p90p100",2012,0.309799999,"Top 10% | share | adults | individual"
"Australia","p90p100",2013,0.317499995,"Top 10% | share | adults | individual"
"Australia","p90p100",2014,0.316599995,"Top 10% | share | adults | individual"
"Australia","p90p100",2015,0.319099993,"Top 10% | share | adults | individual"
"Australia","p90p100",2016,NA,"Top 10% | share | adults | individual"
"Australia","p90p100",1990,NA,"Top 10% | share | adults | tax unit"
"Australia","p90p100",1991,NA,"Top 10% | share | adults | tax unit"
"Australia","p90p100",1992,NA,"Top 10% | share | adults | tax unit"
"Australia","p90p100",1993,NA,"Top 10% | share | adults | tax unit"
"Australia","p90p100",1994,NA,"Top 10% | share | adults | tax unit"
"Australia","p90p100",1995,NA,"Top 10% | share | adults | tax unit"
"Australia","p90p100",1996,NA,"Top 10% | share | adults | tax unit"
"Australia","p90p100",1997,NA,"Top 10% | share | adults | tax unit"
"Australia","p90p100",1998,NA,"Top 10% | share | adults | tax unit"
"Australia","p90p100",1999,NA,"Top 10% | share | adults | tax unit"
"Australia","p90p100",2000,NA,"Top 10% | share | adults | tax unit"
"Australia","p90p100",2001,NA,"Top 10% | share | adults | tax unit"
"Australia","p90p100",2002,NA,"Top 10% | share | adults | tax unit"
"Australia","p90p100",2003,NA,"Top 10% | share | adults | tax unit"
"Australia","p90p100",2004,NA,"Top 10% | share | adults | tax unit"
"Australia","p90p100",2005,NA,"Top 10% | share | adults | tax unit"
"Australia","p90p100",2006,NA,"Top 10% | share | adults | tax unit"
"Australia","p90p100",2007,NA,"Top 10% | share | adults | tax unit"
"Australia","p90p100",2008,NA,"Top 10% | share | adults | tax unit"
"Australia","p90p100",2009,NA,"Top 10% | share | adults | tax unit"
"Australia","p90p100",2010,NA,"Top 10% | share | adults | tax unit"
"Australia","p90p100",2011,NA,"Top 10% | share | adults | tax unit"
"Australia","p90p100",2012,NA,"Top 10% | share | adults | tax unit"
"Australia","p90p100",2013,NA,"Top 10% | share | adults | tax unit"
"Australia","p90p100",2014,NA,"Top 10% | share | adults | tax unit"
"Australia","p90p100",2015,NA,"Top 10% | share | adults | tax unit"
"Australia","p90p100",2016,NA,"Top 10% | share | adults | tax unit"
"Bahrain","p90p100",1990,0.533773601,"Top 10% | share | adults | equal split"
"Bahrain","p90p100",1991,0.533773482,"Top 10% | share | adults | equal split"
"Bahrain","p90p100",1992,0.533783376,"Top 10% | share | adults | equal split"
"Bahrain","p90p100",1993,0.533793747,"Top 10% | share | adults | equal split"
"Bahrain","p90p100",1994,0.533804774,"Top 10% | share | adults | equal split"
"Bahrain","p90p100",1995,0.533816457,"Top 10% | share | adults | equal split"
"Bahrain","p90p100",1996,0.533828735,"Top 10% | share | adults | equal split"
"Bahrain","p90p100",1997,0.533841789,"Top 10% | share | adults | equal split"
"Bahrain","p90p100",1998,0.533855438,"Top 10% | share | adults | equal split"
"Bahrain","p90p100",1999,0.533869505,"Top 10% | share | adults | equal split"
"Bahrain","p90p100",2000,0.505947411,"Top 10% | share | adults | equal split"
"Bahrain","p90p100",2001,0.505969465,"Top 10% | share | adults | equal split"
"Bahrain","p90p100",2002,0.50785768,"Top 10% | share | adults | equal split"
"Bahrain","p90p100",2003,0.509773314,"Top 10% | share | adults | equal split"
"Bahrain","p90p100",2004,0.511721551,"Top 10% | share | adults | equal split"
"Bahrain","p90p100",2005,0.51370877,"Top 10% | share | adults | equal split"
"Bahrain","p90p100",2006,0.515742242,"Top 10% | share | adults | equal split"
"Bahrain","p90p100",2007,0.517830551,"Top 10% | share | adults | equal split"
"Bahrain","p90p100",2008,0.519984305,"Top 10% | share | adults | equal split"
"Bahrain","p90p100",2009,0.522212863,"Top 10% | share | adults | equal split"
"Bahrain","p90p100",2010,0.529589176,"Top 10% | share | adults | equal split"
"Bahrain","p90p100",2011,0.528753698,"Top 10% | share | adults | equal split"
"Bahrain","p90p100",2012,0.527929366,"Top 10% | share | adults | equal split"
"Bahrain","p90p100",2013,0.527115762,"Top 10% | share | adults | equal split"
"Bahrain","p90p100",2014,0.526312709,"Top 10% | share | adults | equal split"
"Bahrain","p90p100",2015,0.526312649,"Top 10% | share | adults | equal split"
"Bahrain","p90p100",2016,0.526312649,"Top 10% | share | adults | equal split"
"Bahrain","p90p100",1990,NA,"Top 10% | share | adults | individual"
"Bahrain","p90p100",1991,NA,"Top 10% | share | adults | individual"
"Bahrain","p90p100",1992,NA,"Top 10% | share | adults | individual"
"Bahrain","p90p100",1993,NA,"Top 10% | share | adults | individual"
"Bahrain","p90p100",1994,NA,"Top 10% | share | adults | individual"
"Bahrain","p90p100",1995,NA,"Top 10% | share | adults | individual"
"Bahrain","p90p100",1996,NA,"Top 10% | share | adults | individual"
"Bahrain","p90p100",1997,NA,"Top 10% | share | adults | individual"
"Bahrain","p90p100",1998,NA,"Top 10% | share | adults | individual"
"Bahrain","p90p100",1999,NA,"Top 10% | share | adults | individual"
"Bahrain","p90p100",2000,NA,"Top 10% | share | adults | individual"
"Bahrain","p90p100",2001,NA,"Top 10% | share | adults | individual"
"Bahrain","p90p100",2002,NA,"Top 10% | share | adults | individual"
"Bahrain","p90p100",2003,NA,"Top 10% | share | adults | individual"
"Bahrain","p90p100",2004,NA,"Top 10% | share | adults | individual"
"Bahrain","p90p100",2005,NA,"Top 10% | share | adults | individual"
"Bahrain","p90p100",2006,NA,"Top 10% | share | adults | individual"
"Bahrain","p90p100",2007,NA,"Top 10% | share | adults | individual"
"Bahrain","p90p100",2008,NA,"Top 10% | share | adults | individual"
"Bahrain","p90p100",2009,NA,"Top 10% | share | adults | individual"
"Bahrain","p90p100",2010,NA,"Top 10% | share | adults | individual"
"Bahrain","p90p100",2011,NA,"Top 10% | share | adults | individual"
"Bahrain","p90p100",2012,NA,"Top 10% | share | adults | individual"
"Bahrain","p90p100",2013,NA,"Top 10% | share | adults | individual"
"Bahrain","p90p100",2014,NA,"Top 10% | share | adults | individual"
"Bahrain","p90p100",2015,NA,"Top 10% | share | adults | individual"
"Bahrain","p90p100",2016,NA,"Top 10% | share | adults | individual"
"Bahrain","p90p100",1990,NA,"Top 10% | share | adults | tax unit"
"Bahrain","p90p100",1991,NA,"Top 10% | share | adults | tax unit"
"Bahrain","p90p100",1992,NA,"Top 10% | share | adults | tax unit"
"Bahrain","p90p100",1993,NA,"Top 10% | share | adults | tax unit"
"Bahrain","p90p100",1994,NA,"Top 10% | share | adults | tax unit"
"Bahrain","p90p100",1995,NA,"Top 10% | share | adults | tax unit"
"Bahrain","p90p100",1996,NA,"Top 10% | share | adults | tax unit"
"Bahrain","p90p100",1997,NA,"Top 10% | share | adults | tax unit"
"Bahrain","p90p100",1998,NA,"Top 10% | share | adults | tax unit"
"Bahrain","p90p100",1999,NA,"Top 10% | share | adults | tax unit"
"Bahrain","p90p100",2000,NA,"Top 10% | share | adults | tax unit"
"Bahrain","p90p100",2001,NA,"Top 10% | share | adults | tax unit"
"Bahrain","p90p100",2002,NA,"Top 10% | share | adults | tax unit"
"Bahrain","p90p100",2003,NA,"Top 10% | share | adults | tax unit"
"Bahrain","p90p100",2004,NA,"Top 10% | share | adults | tax unit"
"Bahrain","p90p100",2005,NA,"Top 10% | share | adults | tax unit"
"Bahrain","p90p100",2006,NA,"Top 10% | share | adults | tax unit"
"Bahrain","p90p100",2007,NA,"Top 10% | share | adults | tax unit"
"Bahrain","p90p100",2008,NA,"Top 10% | share | adults | tax unit"
"Bahrain","p90p100",2009,NA,"Top 10% | share | adults | tax unit"
"Bahrain","p90p100",2010,NA,"Top 10% | share | adults | tax unit"
"Bahrain","p90p100",2011,NA,"Top 10% | share | adults | tax unit"
"Bahrain","p90p100",2012,NA,"Top 10% | share | adults | tax unit"
"Bahrain","p90p100",2013,NA,"Top 10% | share | adults | tax unit"
"Bahrain","p90p100",2014,NA,"Top 10% | share | adults | tax unit"
"Bahrain","p90p100",2015,NA,"Top 10% | share | adults | tax unit"
"Bahrain","p90p100",2016,NA,"Top 10% | share | adults | tax unit"
"Brazil","p90p100",1990,NA,"Top 10% | share | adults | equal split"
"Brazil","p90p100",1991,NA,"Top 10% | share | adults | equal split"
"Brazil","p90p100",1992,NA,"Top 10% | share | adults | equal split"
"Brazil","p90p100",1993,NA,"Top 10% | share | adults | equal split"
"Brazil","p90p100",1994,NA,"Top 10% | share | adults | equal split"
"Brazil","p90p100",1995,NA,"Top 10% | share | adults | equal split"
"Brazil","p90p100",1996,NA,"Top 10% | share | adults | equal split"
"Brazil","p90p100",1997,NA,"Top 10% | share | adults | equal split"
"Brazil","p90p100",1998,NA,"Top 10% | share | adults | equal split"
"Brazil","p90p100",1999,NA,"Top 10% | share | adults | equal split"
"Brazil","p90p100",2000,NA,"Top 10% | share | adults | equal split"
"Brazil","p90p100",2001,0.542864263,"Top 10% | share | adults | equal split"
"Brazil","p90p100",2002,0.556685031,"Top 10% | share | adults | equal split"
"Brazil","p90p100",2003,0.552765131,"Top 10% | share | adults | equal split"
"Brazil","p90p100",2004,0.547841013,"Top 10% | share | adults | equal split"
"Brazil","p90p100",2005,0.550996542,"Top 10% | share | adults | equal split"
"Brazil","p90p100",2006,0.554700792,"Top 10% | share | adults | equal split"
"Brazil","p90p100",2007,0.549433291,"Top 10% | share | adults | equal split"
"Brazil","p90p100",2008,0.56204468,"Top 10% | share | adults | equal split"
"Brazil","p90p100",2009,0.549683034,"Top 10% | share | adults | equal split"
"Brazil","p90p100",2010,0.552102745,"Top 10% | share | adults | equal split"
"Brazil","p90p100",2011,0.565307915,"Top 10% | share | adults | equal split"
"Brazil","p90p100",2012,0.554212272,"Top 10% | share | adults | equal split"
"Brazil","p90p100",2013,0.548886538,"Top 10% | share | adults | equal split"
"Brazil","p90p100",2014,0.546107769,"Top 10% | share | adults | equal split"
"Brazil","p90p100",2015,0.555572748,"Top 10% | share | adults | equal split"
"Brazil","p90p100",2016,NA,"Top 10% | share | adults | equal split"
"Brazil","p90p100",1990,NA,"Top 10% | share | adults | individual"
"Brazil","p90p100",1991,NA,"Top 10% | share | adults | individual"
"Brazil","p90p100",1992,NA,"Top 10% | share | adults | individual"
"Brazil","p90p100",1993,NA,"Top 10% | share | adults | individual"
"Brazil","p90p100",1994,NA,"Top 10% | share | adults | individual"
"Brazil","p90p100",1995,NA,"Top 10% | share | adults | individual"
"Brazil","p90p100",1996,NA,"Top 10% | share | adults | individual"
"Brazil","p90p100",1997,NA,"Top 10% | share | adults | individual"
"Brazil","p90p100",1998,NA,"Top 10% | share | adults | individual"
"Brazil","p90p100",1999,NA,"Top 10% | share | adults | individual"
"Brazil","p90p100",2000,NA,"Top 10% | share | adults | individual"
"Brazil","p90p100",2001,NA,"Top 10% | share | adults | individual"
"Brazil","p90p100",2002,NA,"Top 10% | share | adults | individual"
"Brazil","p90p100",2003,NA,"Top 10% | share | adults | individual"
"Brazil","p90p100",2004,NA,"Top 10% | share | adults | individual"
"Brazil","p90p100",2005,NA,"Top 10% | share | adults | individual"
"Brazil","p90p100",2006,NA,"Top 10% | share | adults | individual"
"Brazil","p90p100",2007,NA,"Top 10% | share | adults | individual"
"Brazil","p90p100",2008,NA,"Top 10% | share | adults | individual"
"Brazil","p90p100",2009,NA,"Top 10% | share | adults | individual"
"Brazil","p90p100",2010,NA,"Top 10% | share | adults | individual"
"Brazil","p90p100",2011,NA,"Top 10% | share | adults | individual"
"Brazil","p90p100",2012,NA,"Top 10% | share | adults | individual"
"Brazil","p90p100",2013,NA,"Top 10% | share | adults | individual"
"Brazil","p90p100",2014,NA,"Top 10% | share | adults | individual"
"Brazil","p90p100",2015,NA,"Top 10% | share | adults | individual"
"Brazil","p90p100",2016,NA,"Top 10% | share | adults | individual"
"Brazil","p90p100",1990,NA,"Top 10% | share | adults | tax unit"
"Brazil","p90p100",1991,NA,"Top 10% | share | adults | tax unit"
"Brazil","p90p100",1992,NA,"Top 10% | share | adults | tax unit"
"Brazil","p90p100",1993,NA,"Top 10% | share | adults | tax unit"
"Brazil","p90p100",1994,NA,"Top 10% | share | adults | tax unit"
"Brazil","p90p100",1995,NA,"Top 10% | share | adults | tax unit"
"Brazil","p90p100",1996,NA,"Top 10% | share | adults | tax unit"
"Brazil","p90p100",1997,NA,"Top 10% | share | adults | tax unit"
"Brazil","p90p100",1998,NA,"Top 10% | share | adults | tax unit"
"Brazil","p90p100",1999,NA,"Top 10% | share | adults | tax unit"
"Brazil","p90p100",2000,NA,"Top 10% | share | adults | tax unit"
"Brazil","p90p100",2001,NA,"Top 10% | share | adults | tax unit"
"Brazil","p90p100",2002,NA,"Top 10% | share | adults | tax unit"
"Brazil","p90p100",2003,NA,"Top 10% | share | adults | tax unit"
"Brazil","p90p100",2004,NA,"Top 10% | share | adults | tax unit"
"Brazil","p90p100",2005,NA,"Top 10% | share | adults | tax unit"
"Brazil","p90p100",2006,NA,"Top 10% | share | adults | tax unit"
"Brazil","p90p100",2007,NA,"Top 10% | share | adults | tax unit"
"Brazil","p90p100",2008,NA,"Top 10% | share | adults | tax unit"
"Brazil","p90p100",2009,NA,"Top 10% | share | adults | tax unit"
"Brazil","p90p100",2010,NA,"Top 10% | share | adults | tax unit"
"Brazil","p90p100",2011,NA,"Top 10% | share | adults | tax unit"
"Brazil","p90p100",2012,NA,"Top 10% | share | adults | tax unit"
"Brazil","p90p100",2013,NA,"Top 10% | share | adults | tax unit"
"Brazil","p90p100",2014,NA,"Top 10% | share | adults | tax unit"
"Brazil","p90p100",2015,NA,"Top 10% | share | adults | tax unit"
"Brazil","p90p100",2016,NA,"Top 10% | share | adults | tax unit"
"Canada","p90p100",1990,NA,"Top 10% | share | adults | equal split"
"Canada","p90p100",1991,NA,"Top 10% | share | adults | equal split"
"Canada","p90p100",1992,NA,"Top 10% | share | adults | equal split"
"Canada","p90p100",1993,NA,"Top 10% | share | adults | equal split"
"Canada","p90p100",1994,NA,"Top 10% | share | adults | equal split"
"Canada","p90p100",1995,NA,"Top 10% | share | adults | equal split"
"Canada","p90p100",1996,NA,"Top 10% | share | adults | equal split"
"Canada","p90p100",1997,NA,"Top 10% | share | adults | equal split"
"Canada","p90p100",1998,NA,"Top 10% | share | adults | equal split"
"Canada","p90p100",1999,NA,"Top 10% | share | adults | equal split"
"Canada","p90p100",2000,NA,"Top 10% | share | adults | equal split"
"Canada","p90p100",2001,NA,"Top 10% | share | adults | equal split"
"Canada","p90p100",2002,NA,"Top 10% | share | adults | equal split"
"Canada","p90p100",2003,NA,"Top 10% | share | adults | equal split"
"Canada","p90p100",2004,NA,"Top 10% | share | adults | equal split"
"Canada","p90p100",2005,NA,"Top 10% | share | adults | equal split"
"Canada","p90p100",2006,NA,"Top 10% | share | adults | equal split"
"Canada","p90p100",2007,NA,"Top 10% | share | adults | equal split"
"Canada","p90p100",2008,NA,"Top 10% | share | adults | equal split"
"Canada","p90p100",2009,NA,"Top 10% | share | adults | equal split"
"Canada","p90p100",2010,NA,"Top 10% | share | adults | equal split"
"Canada","p90p100",2011,NA,"Top 10% | share | adults | equal split"
"Canada","p90p100",2012,NA,"Top 10% | share | adults | equal split"
"Canada","p90p100",2013,NA,"Top 10% | share | adults | equal split"
"Canada","p90p100",2014,NA,"Top 10% | share | adults | equal split"
"Canada","p90p100",2015,NA,"Top 10% | share | adults | equal split"
"Canada","p90p100",2016,NA,"Top 10% | share | adults | equal split"
"Canada","p90p100",1990,0.363260001,"Top 10% | share | adults | individual"
"Canada","p90p100",1991,0.371619999,"Top 10% | share | adults | individual"
"Canada","p90p100",1992,0.378030002,"Top 10% | share | adults | individual"
"Canada","p90p100",1993,0.39032808,"Top 10% | share | adults | individual"
"Canada","p90p100",1994,0.410974085,"Top 10% | share | adults | individual"
"Canada","p90p100",1995,0.385929912,"Top 10% | share | adults | individual"
"Canada","p90p100",1996,0.392012447,"Top 10% | share | adults | individual"
"Canada","p90p100",1997,0.399363667,"Top 10% | share | adults | individual"
"Canada","p90p100",1998,0.403856844,"Top 10% | share | adults | individual"
"Canada","p90p100",1999,0.403877914,"Top 10% | share | adults | individual"
"Canada","p90p100",2000,0.416210771,"Top 10% | share | adults | individual"
"Canada","p90p100",2001,0.407782912,"Top 10% | share | adults | individual"
"Canada","p90p100",2002,0.406066835,"Top 10% | share | adults | individual"
"Canada","p90p100",2003,0.405302227,"Top 10% | share | adults | individual"
"Canada","p90p100",2004,0.411055327,"Top 10% | share | adults | individual"
"Canada","p90p100",2005,0.417220503,"Top 10% | share | adults | individual"
"Canada","p90p100",2006,0.423956901,"Top 10% | share | adults | individual"
"Canada","p90p100",2007,0.425364167,"Top 10% | share | adults | individual"
"Canada","p90p100",2008,0.415477544,"Top 10% | share | adults | individual"
"Canada","p90p100",2009,0.410122126,"Top 10% | share | adults | individual"
"Canada","p90p100",2010,0.413837999,"Top 10% | share | adults | individual"
"Canada","p90p100",2011,NA,"Top 10% | share | adults | individual"
"Canada","p90p100",2012,NA,"Top 10% | share | adults | individual"
"Canada","p90p100",2013,NA,"Top 10% | share | adults | individual"
"Canada","p90p100",2014,NA,"Top 10% | share | adults | individual"
"Canada","p90p100",2015,NA,"Top 10% | share | adults | individual"
"Canada","p90p100",2016,NA,"Top 10% | share | adults | individual"
"Canada","p90p100",1990,NA,"Top 10% | share | adults | tax unit"
"Canada","p90p100",1991,NA,"Top 10% | share | adults | tax unit"
"Canada","p90p100",1992,NA,"Top 10% | share | adults | tax unit"
"Canada","p90p100",1993,NA,"Top 10% | share | adults | tax unit"
"Canada","p90p100",1994,NA,"Top 10% | share | adults | tax unit"
"Canada","p90p100",1995,NA,"Top 10% | share | adults | tax unit"
"Canada","p90p100",1996,NA,"Top 10% | share | adults | tax unit"
"Canada","p90p100",1997,NA,"Top 10% | share | adults | tax unit"
"Canada","p90p100",1998,NA,"Top 10% | share | adults | tax unit"
"Canada","p90p100",1999,NA,"Top 10% | share | adults | tax unit"
"Canada","p90p100",2000,NA,"Top 10% | share | adults | tax unit"
"Canada","p90p100",2001,NA,"Top 10% | share | adults | tax unit"
"Canada","p90p100",2002,NA,"Top 10% | share | adults | tax unit"
"Canada","p90p100",2003,NA,"Top 10% | share | adults | tax unit"
"Canada","p90p100",2004,NA,"Top 10% | share | adults | tax unit"
"Canada","p90p100",2005,NA,"Top 10% | share | adults | tax unit"
"Canada","p90p100",2006,NA,"Top 10% | share | adults | tax unit"
"Canada","p90p100",2007,NA,"Top 10% | share | adults | tax unit"
"Canada","p90p100",2008,NA,"Top 10% | share | adults | tax unit"
"Canada","p90p100",2009,NA,"Top 10% | share | adults | tax unit"
"Canada","p90p100",2010,NA,"Top 10% | share | adults | tax unit"
"Canada","p90p100",2011,NA,"Top 10% | share | adults | tax unit"
"Canada","p90p100",2012,NA,"Top 10% | share | adults | tax unit"
"Canada","p90p100",2013,NA,"Top 10% | share | adults | tax unit"
"Canada","p90p100",2014,NA,"Top 10% | share | adults | tax unit"
"Canada","p90p100",2015,NA,"Top 10% | share | adults | tax unit"
